Year,LocationAbbrev,LocationDesc,Population,Topic,Measure,Submeasure,Data Value Unit,Domestic,Imports,Total,Domestic Per Capita,Imports Per Capita,Total Per Capita
2000,US,National,209786736,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,45502156,91965,45594121,0.217,0,0.217
2000,US,National,209786736,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,423250355675,12319663000,435570018675,2018,59,2076
2000,US,National,209786736,Combustible Tobacco,Cigars,Total Cigars,Cigars,5612867329,548243000,6161110329,27,3,29
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,8291276800,702741662,8994018462,40,3,43
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,16841656,1427444,18269100,0,0,0
2000,US,National,209786736,Combustible Tobacco,Cigars,Small Cigars,Cigars,2243135044,36049000,2279184044,11,0,11
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,5352683,739887,6092570,0,0,0
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,5656109785,338489600,5994599385,27,2,29
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,11488973,687557,12176530,0,0,0
2000,US,National,209786736,Combustible Tobacco,Cigars,Large Cigars,Cigars,3369732285,512194000,3881926285,16,2,19
2000,US,National,209786736,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,2635167015,364252062,2999419077,13,2,14
2000,US,National,209786736,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,66134630,17729,66152359,0.315,0,0.315
2000,US,National,209786736,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,437154499804,13570647662,450725147466,2084,65,2148
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,2421344492,493322338,2914666831,11,2,14
2001,US,National,212345162,Combustible Tobacco,Cigars,Total Cigars,Cigars,5735109123,608777000,6343886123,27,3,30
2001,US,National,212345162,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,49397524,102162,49499686,0.233,0,0.233
2001,US,National,212345162,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,69804806,11675,69816481,0.329,0,0.329
2001,US,National,212345162,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,412031245791,14688910000,426720155791,1940,69,2010
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,13570691,1925219,15495910,0,0,0
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,6680955569,947800123,7628755692,31,4,36
2001,US,National,212345162,Combustible Tobacco,Cigars,Large Cigars,Cigars,3563717412,540798000,4104515412,17,3,19
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,8652335,923158,9575493,0,0,0
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,4259611077,454477785,4714088862,20,2,22
2001,US,National,212345162,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,4918356,1002061,5920417,0,0,0
2001,US,National,212345162,Combustible Tobacco,Cigars,Small Cigars,Cigars,2171391711,67979000,2239370711,10,0,11
2001,US,National,212345162,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,424447310483,16245487123,440692797606,1999,77,2075
2002,US,National,214754648,Combustible Tobacco,Cigars,Small Cigars,Cigars,2247836178,95082000,2342918178,10,0,11
2002,US,National,214754648,Combustible Tobacco,Cigars,Large Cigars,Cigars,3703237388,499924000,4203161388,17,2,20
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,10567681,1084950,11652631,0,0,0
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,5202550646,534129231,5736679877,24,2,27
2002,US,National,214754648,Combustible Tobacco,Cigars,Total Cigars,Cigars,5951073566,595006000,6546079566,28,3,30
2002,US,National,214754648,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,47095214,215769,47310983,0.219,0.001,0.22
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,4627209,973090,5600299,0,0,0
2002,US,National,214754648,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,71242932,9827,71252759,0.332,0,0.332
2002,US,National,214754648,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,408303465673,22459975923,430763441596,1901,105,2006
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,15194890,2058040,17252930,0,0,0
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,2278010585,479059692,2757070277,11,2,13
2002,US,National,214754648,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,7480561231,1013188923,8493750154,35,5,40
2002,US,National,214754648,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,394871830876,20851781000,415723611876,1839,97,1936
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,7634876062,961030892,8595906954,35,4,40
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,11353137,1254008,12607145,0,0,0
2003,US,National,217068101,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,45906067,174399,46080466,0.211,0.001,0.212
2003,US,National,217068101,Combustible Tobacco,Cigars,Small Cigars,Cigars,2301972488,172369000,2474341488,11,1,11
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,4155205,698086,4853291,0,0,0
2003,US,National,217068101,Combustible Tobacco,Cigars,Large Cigars,Cigars,4018523214,514566000,4533089214,19,2,21
2003,US,National,217068101,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,391196952717,24733051892,415930004609,1802,114,1916
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,15508342,1952094,17460436,0,0,0
2003,US,National,217068101,Combustible Tobacco,Cigars,Total Cigars,Cigars,6320495702,686935000,7007430702,29,3,32
2003,US,National,217068101,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,74700715,8369,74709084,0.344,0,0.344
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,5589236677,617357785,6206594462,26,3,29
2003,US,National,217068101,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,2045639385,343673108,2389312492,9,2,11
2003,US,National,217068101,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,377241580953,23085086000,400326666953,1738,106,1844
2004,US,National,219552929,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,77983437,16833,78000270,0.355,0,0.355
2004,US,National,219552929,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,390166439041,24254733538,414421172579,1777,110,1888
2004,US,National,219552929,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,374977639606,22677777000,397655416606,1708,103,1811
2004,US,National,219552929,Combustible Tobacco,Cigars,Large Cigars,Cigars,4319160065,615596000,4934756065,20,3,22
2004,US,National,219552929,Combustible Tobacco,Cigars,Small Cigars,Cigars,2701646262,215443000,2917089262,12,1,13
2004,US,National,219552929,Combustible Tobacco,Cigars,Total Cigars,Cigars,7020806327,831039000,7851845327,32,4,36
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,1922368000,391132062,2313500062,9,2,11
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3904810,794487,4699297,0,0,0
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,6245625108,354785477,6600410585,28,2,30
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,12686426,720658,13407084,0,0,0
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,8167993108,745917538,8913910646,37,3,41
2004,US,National,219552929,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,16591236,1515145,18106381,0,0,0
2004,US,National,219552929,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,42940196,208894,43149090,0.196,0.001,0.197
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,1915462400,507187692,2422650092,9,2,11
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,9545006277,1491801600,11036807877,43,7,50
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3890783,1030225,4921008,0,0,0
2005,US,National,222003984,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,80241576,11018,80252594,0.361,0,0.361
2005,US,National,222003984,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,38883276,315916,39199192,0.175,0.001,0.177
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,15497511,1999997,17497508,0,0,0
2005,US,National,222003984,Combustible Tobacco,Cigars,Small Cigars,Cigars,3772041108,196453000,3968494108,17,1,18
2005,US,National,222003984,Combustible Tobacco,Cigars,Large Cigars,Cigars,4431800085,651732000,5083532085,20,3,23
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,7629543877,984613908,8614157785,34,4,39
2005,US,National,222003984,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,19388294,3030222,22418516,0,0,0
2005,US,National,222003984,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,380712422031,20474781600,401187203631,1715,92,1807
2005,US,National,222003984,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,362963574561,18134795000,381098369561,1635,82,1717
2005,US,National,222003984,Combustible Tobacco,Cigars,Total Cigars,Cigars,8203841193,848185000,9052026193,37,4,41
2006,US,National,224583123,Combustible Tobacco,Cigars,Total Cigars,Cigars,8665824756,1067008000,9732832756,39,5,43
2006,US,National,224583123,Combustible Tobacco,Cigars,Large Cigars,Cigars,4503604349,795133000,5298737349,20,4,24
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,8032491323,561063385,8593554708,36,2,38
2006,US,National,224583123,Combustible Tobacco,Cigars,Small Cigars,Cigars,4162220407,271875000,4434095407,19,1,20
2006,US,National,224583123,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,364437096601,16156451000,380593547601,1623,72,1695
2006,US,National,224583123,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,38862076,235747,39097823,0.173,0.001,0.174
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,1613252923,708639015,2321891938,7,3,10
2006,US,National,224583123,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,382748665603,18493161400,401241827003,1704,82,1787
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,16315998,1139660,17455658,0,0,0
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3276920,1439423,4716343,0,0,0
2006,US,National,224583123,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,86576507,63497,86640004,0.385,0,0.386
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,9645744246,1269702400,10915446646,43,6,49
2006,US,National,224583123,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,19592918,2579083,22172001,0,0,0
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,17283788,1658991,18942779,0,0,0
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,10054698338,1733564554,11788262892,44,8,52
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,1545756554,916830523,2462587077,7,4,11
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,20423606,3521303,23944909,0,0,0
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3139818,1862312,5002130,0,0,0
2007,US,National,227239768,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,8508941785,816734031,9325675815,37,4,41
2007,US,National,227239768,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,348317484882,13272402000,361589886882,1533,58,1591
2007,US,National,227239768,Combustible Tobacco,Cigars,Large Cigars,Cigars,4658667130,889004000,5547671130,21,4,24
2007,US,National,227239768,Combustible Tobacco,Cigars,Total Cigars,Cigars,9508293603,1200203000,10708496603,42,5,47
2007,US,National,227239768,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,88266593,101194,88367787,0.388,0,0.389
2007,US,National,227239768,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,367880476823,16206169554,384086646377,1619,71,1690
2007,US,National,227239768,Combustible Tobacco,Cigars,Small Cigars,Cigars,4849626473,311199000,5160825473,21,1,23
2007,US,National,227239768,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,35086655,217387,35304042,0.154,0.001,0.155
2008,US,National,229945137,Combustible Tobacco,Cigars,Small Cigars,Cigars,5470956642,409873000,5880829642,24,2,26
2008,US,National,229945137,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,94596853,221808,94818661,0.411,0.001,0.412
2008,US,National,229945137,Combustible Tobacco,Cigars,Total Cigars,Cigars,10143693050,1394155000,11537848050,44,6,50
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Cigarette Equivalents,11552934400,1754053908,13306988308,50,8,58
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Cigarette Equivalents,1563947323,1021555200,2585502523,7,4,11
2008,US,National,229945137,Combustible Tobacco,Cigarettes,Cigarette Removals,Cigarettes,335384308754,11035202000,346419510754,1459,48,1507
2008,US,National,229945137,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,357080696204,14183410908,371264347112,1553,62,1615
2008,US,National,229945137,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,33123840,322100,33445940,0.144,0.001,0.145
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,3176768,2075034,5251802,0,0,0
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,23466898,3562922,27029820,0,0,0
2008,US,National,229945137,Combustible Tobacco,Cigars,Large Cigars,Cigars,4672736408,984282000,5657018408,20,4,25
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Cigarette Equivalents,9988987077,732498708,10721485785,43,3,47
2008,US,National,229945137,Combustible Tobacco,Loose Tobacco,Roll-Your-Own Tobacco,Pounds,20290130,1487888,21778018,0,0,0
2009,US,National,232458335,Noncombustible Tobacco,Smokeless Tobacco,Snuff,Pounds,94762149,291606,95053755,0.408,0.001,0.409
2009,US,National,232458335,Noncombustible Tobacco,Smokeless Tobacco,Chewing Tobacco,Pounds,30228068,197018,30425086,0.13,0.001,0.131
2009,US,National,232458335,Combustible Tobacco,Cigars,Large Cigars,Cigars,7981903518,1802149000,9784052518,34,8,42
2009,US,National,232458335,Combustible Tobacco,All Combustibles,Total Combustible Tobacco,Cigarette Equivalents,329491123539,12632961400,342124084939,1417,54,1472
2009,US,National,232458335,Combustible Tobacco,Loose Tobacco,Pipe Tobacco,Pounds,10724841,1982058,12706899,0,0,0
2009,US,National,232458335,Combustible Tobacco,Loose Tobacco,Total Loose Tobacco,Pounds,22284207,2621788,24905995,0,0,0
